Venue;CIty
NardIs Jazz Club;Istanbul
Bova Sahne;Istanbul
The Badau;Istanbul
The Badau Akasya;Istanbul
SocIal Jazz Bar;Istanbul
Maestro DonIzettI;Istanbul
Cafe BIen;Ankara
SAMM's BIstro;Ankara
The 251 Soul;Antalya
La BoucherIe;Istanbul
CInatI Cafe Bar;IzmIr
Last Penny;Ankara
TamIrane UnIq;Istanbul
TamIrane Akasya;Istanbul
YeldegIrmenI Sanat;Istanbul
Zorlu PSM;Istanbul
Touche;Istanbul
Clubhouse Jazz Bar;Ankara
LIvIng Room;Istanbul
KIrlI Depo;Istanbul
DIvIne BrasserIe;Istanbul
Kepler PavIlIon;IzmIr
Kepler SocIal House;IzmIr
HancI Sahne;Istanbul
Salon;Istanbul
Akbank Sanat;Istanbul
Is Sanat;Istanbul
Cemal ResIt Rey;Istanbul
Babylon;Istanbul
YapI KredI BomontIada;Istanbul
Haymatlos Mekan;Ankara
CerModern;Ankara
SIyah Beyaz;Ankara
Hangart;Istanbul
Juggler's Pub;Antalya
SNTRL Dukkan;Istanbul
Borusan Sanat;Istanbul
Koma SahnesI;Istanbul
PIano House Moda;Istanbul
FerIye;Istanbul
Salon AngIe;Istanbul
Porsuk Pub;IzmIr
DasDas;Istanbul
Kozmonot BomontI;Istanbul
Arter;Istanbul
ENKA IbrahIm BetIl OdItoryumu;Istanbul
?kargART;Istanbul
Hayal KahvesI Ege Perla;IzmIr
Ka Performance Bar;Istanbul
PIano Bar SelImIye;MarmarIs
Gaga Play;Ankara
Soho House;Istanbul
Baylan Bebek;Istanbul
Shelter;Ankara
Gau AntIque;Bodrum
AntIk Depo;AyvalIk
BIzz Pub;Istanbul
CemIyet;Istanbul
NIche;Istanbul
Stella Jazz Club;Bodrum
June Jazz Pub;Ankara
Echobar;Kas
Gabbro;Istanbul
La CIgale;IzmIr
Cloud34;Istanbul
Ahmet Adnan Saygun;IzmIr
FenIx;Istanbul
SummIt Bar Conrad;Istanbul
SaIt HalIm Pasa YalIsI;Istanbul
DelIce SelImIye;MarmarIs
F Stop Pub;EskIsehIr
MuhtelIf;EskIsehIr
Dudes;EskIsehIr
YenImahalle NHKM ;Ankara
Jun BIstro;AlacatI
BarnIes Coffee;Ankara
PapazIn EvI;KIrklarelI
BerlIn Cafe Pub;Ankara
Dante;IzmIr
Mecra;Istanbul
Italyan Kultur MerkezI;Istanbul
Jazz Company;Istanbul
7 BIlgeler;IzmIr
Jazz Cafe Gumusluk;Bodrum
Off Gumusluk;Bodrum
15 Eylul Urla;IzmIr
Take FIve Coffee;AlacatI
Dada Salon Kabarett;Istanbul
Savra;Bodrum
NHKM KadIkoy;Istanbul
Bahane Kultur;Istanbul
Club Marvy;IzmIr
Bodrum MarIna Yacht Club;Bodrum
MarIna Yacht Club;cesme
AcademIco;IzmIr
Sardunyas BrasserIe;IzmIr
BIlkent StatIon;Ankara
ContaIner BesIktas;Istanbul
cesme Jazz SessIons;IzmIr
Gundogdu Art Gallery;Adana
ZaI;Bodrum
Moda DenIz Kulubu;Istanbul
ODTu MImarlIk AmfIsI;Ankara
Mujgan;Ankara
The Muddy Waters;Ankara
Backyard;Istanbul
KaparI Bahce;IzmIr
Ataturk Kongre Kultur MerkezI ;IzmIr
Sempre;EskIsehIr
CIn by Goz AlacatI;IzmIr
Dam;Istanbul
15 Eylul SelImIye;MarmarIs
VanIlla Restaurant;Antalya
The North ShIeld Pub;Ankara
